Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Turner Bradford R,Chief Legal & Admin Off & C.S.,2022-02-17,Option Exercise,0.00,"30,441",0,"181,756",Feb 22 04:40 PM
Saligram Ravichandra Krishnamu,Chief Executive Officer,2022-02-17,Option Exercise,0.00,"86,975",0,"86,975",Feb 22 04:35 PM
Pisani James Anthony,Segment CEO - Outdoor & Rec.,2022-02-17,Option Exercise,0.00,"20,000",0,"20,000",Feb 22 04:33 PM
Peterson Christopher H,President,2022-02-17,Option Exercise,0.00,"54,468",0,"322,946",Feb 22 04:31 PM
McDermott Michael P,Segment CEO - Home & Com.,2022-02-17,Option Exercise,0.00,"13,045",0,"13,045",Feb 22 04:26 PM
Malkoski Kristine Kay,Segment CEO - Learning & Dev.,2022-02-17,Option Exercise,0.00,"13,045",0,"13,045",Feb 22 04:24 PM
Erceg Mark J,Chief Financial Officer,2022-02-17,Buy,14.99,"66,700","999,833","66,700",Feb 22 04:15 PM
ICAHN BRETT,Director,2022-02-17,Sale,14.95,"374,628","5,600,689","471,003",Feb 21 04:14 PM
ICAHN BRETT,Director,2022-02-17,Sale,14.95,"91,714","1,371,124","122,000",Feb 21 04:14 PM
ICAHN BRETT,Director,2022-02-16,Sale,15.37,"107,372","1,650,308","845,631",Feb 21 04:14 PM
ICAHN BRETT,Director,2022-02-16,Sale,15.37,"26,286","404,016","213,714",Feb 21 04:14 PM
Craigie James,Director,2022-11-02,Buy,13.36,"10,000","133,600","31,868",Nov 03 04:18 PM
ICAHN BRETT,Director,2022-09-14,Sale,16.89,"71,304","1,204,325","953,003",Sep 15 04:17 PM
ICAHN BRETT,Director,2022-09-14,Sale,17.10,"10,000","171,000","240,000",Sep 15 04:17 PM
ICAHN BRETT,Director,2022-09-13,Sale,17.51,"150,000","2,626,500","250,000",Sep 15 04:17 PM
ICAHN BRETT,Director,2022-09-13,Sale,17.51,"150,000","2,626,500","1,024,307",Sep 15 04:17 PM
MATHER COURTNEY,Director,2022-09-12,Sale,18.17,"50,000","908,500","10,691",Sep 14 04:31 PM
Steele Robert Allan,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"32,268",May 06 04:20 PM
SPRIESER JUDITH A,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"5,167",May 06 04:19 PM
LOPEZ GERARDO I,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"54,544",May 06 04:17 PM
ICAHN BRETT,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"1,174,307",May 06 04:15 PM
Geller Michal J.,"President, eCommerce & Digital",2022-05-04,Option Exercise,0.0,"6,236",0,"6,236",May 06 04:13 PM
RYAN BERMAN BRIDGET,Director,2022-05-04,Option Exercise,0.0,"5,167",0,"33,118",May 06 04:11 PM
ICAHN CARL C,10% Owner,2022-02-21,Sale,25.86,"10,634,184","274,999,998","33,070,432",Feb 22 09:26 AM
Turner Bradford R,Chief Legal & Admin Off & C.S.,2022-02-18,Option Exercise,0.0,"111,166",0,"186,792",Feb 23 04:34 PM
Peterson Christopher H,"CFO & President, Bus. Op.",2022-02-18,Option Exercise,0.0,"272,573",0,"385,674",Feb 23 04:26 PM
Hurd Laurel,"Pres., Learning & Development",2022-02-18,Option Exercise,0.0,"40,919",0,"81,850",Feb 23 04:19 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-19,Buy,24.37,400,"9,748","10,750",Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-18,Buy,24.77,200,"4,954","10,350",Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-18,Buy,24.83,200,"4,966",750,Aug 20 04:16 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-04,Buy,24.97,150,"3,746",550,Aug 06 04:17 PM
Malkoski Kristine Kay,Business Unit CEO - Food,2021-08-02,Buy,24.94,500,"12,470","10,150",Aug 04 04:16 PM
